benchmark_id,dataset,task_or_split,score,target_risk,risk_gap,taxonomy,evidence_role,artifact_role,modality,shift_type,task_type,runner,data_access,license_note,requires_seed_stability,metric_contract
Electricity::early→q3,Electricity,early→q3,sirc,0.2432581471467198,0.1468179001434506,partially score-rescuable,main,partially score-rescuable mechanism case,temporal market tabular,time block drift,binary classification,scripts/run_electricity_neural_scds_scores.py,OpenML electricity; date/time-derived blocks,OpenML/Public plus PDDL mirror; fetch-on-demand preferred; see dataset license audit,True,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Gas Sensor Drift::B1_3→B10,Gas Sensor Drift,B1_3→B10,geo_margin,0.4835069444444444,0.4819166136556404,score-resistant,main,stable severe anchor,sensor,temporal batch drift,multi-class classification,scripts/run_gas_neural_scds_scores.py,UCI/OpenML-style public dataset via project download/preprocess scripts,UCI page reports CC BY 4.0; see results/dataset_license_audit/dataset_license_audit.csv,True,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Gas Sensor Drift::B1_5→B10,Gas Sensor Drift,B1_5→B10,react_energy,0.46640625,0.46640625,score-resistant,main,stable severe anchor,sensor,temporal batch drift,multi-class classification,scripts/run_gas_neural_scds_scores.py,UCI/OpenML-style public dataset via project download/preprocess scripts,UCI page reports CC BY 4.0; see results/dataset_license_audit/dataset_license_audit.csv,True,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Covertype::area3→area2,Covertype,area3→area2,react_energy,0.449375,0.1752678571428571,partially score-rescuable,main-boundary,boundary / fixed-score severe evidence,ecological tabular,wilderness-area domain shift,multi-class classification,scripts/run_covtype_neural_scds_scores.py,sklearn fetch_covtype; wilderness indicators define domains and are removed from features,UCI page reports CC BY 4.0; sklearn cache provenance recorded; see dataset license audit,True,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Electricity::early→late,Electricity,early→late,knn,0.2472151801490358,0.1138152527970562,partially score-rescuable,appendix,partially score-rescuable mechanism case,temporal market tabular,time block drift,binary classification,scripts/run_electricity_neural_scds_scores.py,OpenML electricity; date/time-derived blocks,OpenML/Public plus PDDL mirror; fetch-on-demand preferred; see dataset license audit,True,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Covertype::area1_3→area2,Covertype,area1_3→area2,raw_margin,0.4000892857142857,0.1067113095238095,partially score-rescuable,appendix-boundary,boundary / fixed-score severe evidence,ecological tabular,wilderness-area domain shift,multi-class classification,scripts/run_covtype_neural_scds_scores.py,sklearn fetch_covtype; wilderness indicators define domains and are removed from features,UCI page reports CC BY 4.0; sklearn cache provenance recorded; see dataset license audit,True,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Covertype::area1→area2,Covertype,area1→area2,geo_margin,0.42,0.2036309523809523,score-resistant,appendix-boundary,boundary / fixed-score severe evidence,ecological tabular,wilderness-area domain shift,multi-class classification,scripts/run_covtype_neural_scds_scores.py,sklearn fetch_covtype; wilderness indicators define domains and are removed from features,UCI page reports CC BY 4.0; sklearn cache provenance recorded; see dataset license audit,True,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Covertype::area3→area1,Covertype,area3→area1,vim,0.5064732142857142,0.2197172619047618,score-resistant,appendix-boundary,boundary / fixed-score severe evidence,ecological tabular,wilderness-area domain shift,multi-class classification,scripts/run_covtype_neural_scds_scores.py,sklearn fetch_covtype; wilderness indicators define domains and are removed from features,UCI page reports CC BY 4.0; sklearn cache provenance recorded; see dataset license audit,True,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Gas Sensor Drift::B1_9→B10,Gas Sensor Drift,B1_9→B10,geo_margin,0.1634548611111111,0.1622422499550884,mixed/needs replication,appendix-boundary,stable severe anchor,sensor,temporal batch drift,multi-class classification,scripts/run_gas_neural_scds_scores.py,UCI/OpenML-style public dataset via project download/preprocess scripts,UCI page reports CC BY 4.0; see results/dataset_license_audit/dataset_license_audit.csv,True,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
Gas Sensor Drift::B6_9→B10,Gas Sensor Drift,B6_9→B10,geo_margin,0.18515625,0.1842205045227697,partially score-rescuable,appendix-boundary,stable severe anchor,sensor,temporal batch drift,multi-class classification,scripts/run_gas_neural_scds_scores.py,UCI/OpenML-style public dataset via project download/preprocess scripts,UCI page reports CC BY 4.0; see results/dataset_license_audit/dataset_license_audit.csv,True,"coverage,target_selective_risk,source_valid_selective_risk,risk_gap,target_full_risk,bootstrap_ci"
